segment_id,s_node_id,e_node_id,period,actual_velocity,time,LOS,congestion_factor,risk_factor
26,366428456,366416066,period_0_30,18.0,0.05193056346452068,A,0.0,5.0
33,366469460,3792257828,period_23_30,8.955223880597016,0.023395614195309052,C,0.23122710622710618,1.8535958904109586
33,366469460,3792257828,period_0_00,7.142857142857143,0.029331814812029264,D,0.34798534798534797,1.8535958904109586
67,366403668,5755066033,period_9_30,11.612903225806452,0.004857298393017667,B,0.1259157509157509,1.8535958904109586
67,366403668,5755066033,period_9_30,11.612903225806452,0.004857298393017667,B,0.1259157509157509,1.8535958904109586
70,5816921541,4614188871,period_23_30,7.142857142857143,0.009025173788316698,D,0.34798534798534797,1.8535958904109586
70,5816921541,4614188871,period_0_00,5.278592375366569,0.012212635959587277,E,0.5517399267399268,1.8535958904109586
71,366441747,5738173336,period_23_30,5.278592375366569,0.06564291828278161,E,0.5517399267399268,5.0
71,366441747,5738173336,period_0_00,8.955223880597016,0.03869274655378036,C,0.23122710622710618,5.0
161,3202462316,3202462317,period_0_30,18.0,0.009401222696163227,A,0.0,1.8535958904109586
173,2299416638,4639027499,period_4_30,18.0,0.004029095441212811,A,0.0,5.0
173,2299416638,4639027499,period_7_30,18.0,0.004029095441212811,A,0.0,5.0
175,4639027499,4639027501,period_14_00,18.0,0.02999437717347315,A,0.0,5.0
175,4639027499,4639027501,period_3_00,18.0,0.02999437717347315,A,0.0,5.0
175,4639027499,4639027501,period_4_00,18.0,0.02999437717347315,A,0.0,5.0
177,4639027501,5772608672,period_14_30,18.0,0.011191931781146698,A,0.0,5.0
177,4639027501,5772608672,period_4_30,18.0,0.011191931781146698,A,0.0,5.0
177,4639027501,5772608672,period_4_00,18.0,0.011191931781146698,A,0.0,5.0
177,4639027501,5772608672,period_5_00,18.0,0.011191931781146698,A,0.0,5.0
177,4639027501,5772608672,period_6_30,18.0,0.011191931781146698,A,0.0,5.0
177,4639027501,5772608672,period_7_00,18.0,0.011191931781146698,A,0.0,5.0
177,4639027501,5772608672,period_7_30,18.0,0.011191931781146698,A,0.0,5.0
179,5772608672,366430703,period_5_30,18.0,0.021040831748555793,A,0.0,5.0
179,5772608672,366430703,period_6_00,18.0,0.021040831748555793,A,0.0,5.0
181,366430703,5772608671,period_15_00,18.0,0.004476772712458679,A,0.0,5.0
181,366430703,5772608671,period_3_00,18.0,0.004476772712458679,A,0.0,5.0
181,366430703,5772608671,period_3_30,18.0,0.004476772712458679,A,0.0,5.0
181,366430703,5772608671,period_4_00,18.0,0.004476772712458679,A,0.0,5.0
181,366430703,5772608671,period_4_30,18.0,0.004476772712458679,A,0.0,5.0
181,366430703,5772608671,period_4_00,18.0,0.004476772712458679,A,0.0,5.0
181,366430703,5772608671,period_4_30,18.0,0.004476772712458679,A,0.0,5.0
181,366430703,5772608671,period_5_30,18.0,0.004476772712458679,A,0.0,5.0
181,366430703,5772608671,period_7_00,18.0,0.004476772712458679,A,0.0,5.0
181,366430703,5772608671,period_8_00,18.0,0.004476772712458679,A,0.0,5.0
184,3011828036,5772608671,period_3_00,5.278592375366569,0.0793821337373173,E,0.5517399267399268,5.0
185,5769406267,366410141,period_5_00,8.955223880597016,0.031494096032146805,C,0.23122710622710618,5.0
185,5769406267,366410141,period_5_00,11.612903225806452,0.024286491965088336,B,0.1259157509157509,5.0
185,5769406267,366410141,period_14_00,18.0,0.015668704493605377,A,0.0,5.0
185,5769406267,366410141,period_13_30,7.142857142857143,0.03948513532388555,D,0.34798534798534797,5.0
185,5769406267,366410141,period_0_00,5.278592375366569,0.05343028232319434,E,0.5517399267399268,5.0
185,5769406267,366410141,period_0_30,0.7880910683012259,0.3578732106339468,F,5.0,5.0
185,5769406267,366410141,period_3_00,5.278592375366569,0.05343028232319434,E,0.5517399267399268,5.0
185,5769406267,366410141,period_2_30,18.0,0.015668704493605377,A,0.0,5.0
185,5769406267,366410141,period_4_30,18.0,0.015668704493605377,A,0.0,5.0
185,5769406267,366410141,period_4_30,18.0,0.015668704493605377,A,0.0,5.0
185,5769406267,366410141,period_5_00,18.0,0.015668704493605377,A,0.0,5.0
185,5769406267,366410141,period_7_30,18.0,0.015668704493605377,A,0.0,5.0
185,5769406267,366410141,period_3_30,0.7880910683012259,0.3578732106339468,F,5.0,5.0
185,5769406267,366410141,period_10_30,8.955223880597016,0.031494096032146805,C,0.23122710622710618,5.0
185,5769406267,366410141,period_11_00,5.278592375366569,0.05343028232319434,E,0.5517399267399268,5.0
185,5769406267,366410141,period_10_30,8.955223880597016,0.031494096032146805,C,0.23122710622710618,5.0
