_id,segment_id,date,weekday,period,LOS,s_node_id,e_node_id,length,street_id,max_velocity,street_level,street_name,street_type,long_snode,lat_snode,long_enode,lat_enode,cost
36,185,2020-11-30,0,period_5_00,B,5769406267,366410141,35,32575944,,4,Phú Hòa,unclassified,106.6510434,10.7849204,106.6513624,10.7848857,10.70125
37,185,2020-12-09,2,period_14_00,A,5769406267,366410141,35,32575944,,4,Phú Hòa,unclassified,106.6510434,10.7849204,106.6513624,10.7848857,22.401999999999997
38,185,2020-12-19,5,period_13_30,D,5769406267,366410141,35,32575944,,4,Phú Hòa,unclassified,106.6510434,10.7849204,106.6513624,10.7848857,4.4005
39,185,2020-12-24,3,period_0_00,E,5769406267,366410141,35,32575944,,4,Phú Hòa,unclassified,106.6510434,10.7849204,106.6513624,10.7848857,3.5002500000000003
40,185,2020-12-24,3,period_0_30,F,5769406267,366410141,35,32575944,,4,Phú Hòa,unclassified,106.6510434,10.7849204,106.6513624,10.7848857,3.5002500000000003
41,185,2020-12-24,3,period_3_00,E,5769406267,366410141,35,32575944,,4,Phú Hòa,unclassified,106.6510434,10.7849204,106.6513624,10.7848857,3.5002500000000003
42,185,2020-12-27,6,period_2_30,A,5769406267,366410141,35,32575944,,4,Phú Hòa,unclassified,106.6510434,10.7849204,106.6513624,10.7848857,22.401999999999997
43,185,2020-12-27,6,period_4_30,A,5769406267,366410141,35,32575944,,4,Phú Hòa,unclassified,106.6510434,10.7849204,106.6513624,10.7848857,22.401999999999997
44,185,2020-12-28,0,period_4_30,A,5769406267,366410141,35,32575944,,4,Phú Hòa,unclassified,106.6510434,10.7849204,106.6513624,10.7848857,22.401999999999997
45,185,2020-12-28,0,period_5_00,A,5769406267,366410141,35,32575944,,4,Phú Hòa,unclassified,106.6510434,10.7849204,106.6513624,10.7848857,22.401999999999997
46,185,2020-12-28,0,period_7_30,A,5769406267,366410141,35,32575944,,4,Phú Hòa,unclassified,106.6510434,10.7849204,106.6513624,10.7848857,22.401999999999997
47,185,2021-01-05,1,period_3_30,F,5769406267,366410141,35,32575944,,4,Phú Hòa,unclassified,106.6510434,10.7849204,106.6513624,10.7848857,3.5002500000000003
48,185,2021-03-09,1,period_10_30,C,5769406267,366410141,35,32575944,,4,Phú Hòa,unclassified,106.6510434,10.7849204,106.6513624,10.7848857,5.90075
49,185,2021-03-16,1,period_11_00,E,5769406267,366410141,35,32575944,,4,Phú Hòa,unclassified,106.6510434,10.7849204,106.6513624,10.7848857,3.5002500000000003
50,185,2021-03-23,1,period_10_30,C,5769406267,366410141,35,32575944,,4,Phú Hòa,unclassified,106.6510434,10.7849204,106.6513624,10.7848857,5.90075
51,185,2021-03-31,2,period_0_30,B,5769406267,366410141,35,32575944,,4,Phú Hòa,unclassified,106.6510434,10.7849204,106.6513624,10.7848857,10.70125
52,206,2020-11-30,0,period_5_00,B,2233730987,5772608664,54,32575944,,4,Phú Hòa,unclassified,106.6538061,10.7856285,106.6533302,10.7854926,10.70192857142857
53,207,2020-11-30,0,period_4_30,B,366422378,5802629829,49,32575966,,3,Lê Văn Lương,secondary,106.7024735,10.6893503,106.7025394,10.6897893,9.30175
54,207,2020-11-30,0,period_6_00,B,366422378,5802629829,49,32575966,,3,Lê Văn Lương,secondary,106.7024735,10.6893503,106.7025394,10.6897893,9.30175
55,207,2020-12-03,3,period_1_00,E,366422378,5802629829,49,32575966,,3,Lê Văn Lương,secondary,106.7024735,10.6893503,106.7025394,10.6897893,2.10035
56,207,2020-12-03,3,period_4_30,E,366422378,5802629829,49,32575966,,3,Lê Văn Lương,secondary,106.7024735,10.6893503,106.7025394,10.6897893,2.10035
57,207,2020-12-10,3,period_0_30,F,366422378,5802629829,49,32575966,,3,Lê Văn Lương,secondary,106.7024735,10.6893503,106.7025394,10.6897893,2.10035
58,207,2020-12-24,3,period_0_00,C,366422378,5802629829,49,32575966,,3,Lê Văn Lương,secondary,106.7024735,10.6893503,106.7025394,10.6897893,4.50105
59,207,2020-12-24,3,period_3_00,F,366422378,5802629829,49,32575966,,3,Lê Văn Lương,secondary,106.7024735,10.6893503,106.7025394,10.6897893,2.10035
60,207,2021-01-05,1,period_1_00,C,366422378,5802629829,49,32575966,,3,Lê Văn Lương,secondary,106.7024735,10.6893503,106.7025394,10.6897893,4.50105
61,207,2021-01-05,1,period_3_30,F,366422378,5802629829,49,32575966,,3,Lê Văn Lương,secondary,106.7024735,10.6893503,106.7025394,10.6897893,2.10035
62,207,2021-01-19,1,period_11_30,D,366422378,5802629829,49,32575966,,3,Lê Văn Lương,secondary,106.7024735,10.6893503,106.7025394,10.6897893,3.0007
63,207,2021-03-11,3,period_12_00,F,366422378,5802629829,49,32575966,,3,Lê Văn Lương,secondary,106.7024735,10.6893503,106.7025394,10.6897893,2.10035
64,207,2021-03-11,3,period_7_00,F,366422378,5802629829,49,32575966,,3,Lê Văn Lương,secondary,106.7024735,10.6893503,106.7025394,10.6897893,2.10035
65,207,2021-03-16,1,period_5_30,D,366422378,5802629829,49,32575966,,3,Lê Văn Lương,secondary,106.7024735,10.6893503,106.7025394,10.6897893,3.0007
66,207,2021-03-31,2,period_0_30,C,366422378,5802629829,49,32575966,,3,Lê Văn Lương,secondary,106.7024735,10.6893503,106.7025394,10.6897893,4.50105
67,207,2021-04-07,2,period_14_00,D,366422378,5802629829,49,32575966,,3,Lê Văn Lương,secondary,106.7024735,10.6893503,106.7025394,10.6897893,3.0007
68,207,2021-04-14,2,period_1_00,E,366422378,5802629829,49,32575966,,3,Lê Văn Lương,secondary,106.7024735,10.6893503,106.7025394,10.6897893,2.10035
69,207,2021-04-15,3,period_5_00,C,366422378,5802629829,49,32575966,,3,Lê Văn Lương,secondary,106.7024735,10.6893503,106.7025394,10.6897893,4.50105
70,299,2020-08-03,0,period_1_00,F,1779408275,2027431006,15,32575985,,4,Nguyễn Khoái,tertiary,106.6939259,10.7558779,106.6939906,10.7557574,3.500107142857143
71,309,2020-11-27,4,period_12_00,C,1780010853,366422916,95,32575985,,4,Nguyễn Khoái,tertiary,106.6948938,10.7541206,106.6952956,10.7533608,5.902035714285715
72,424,2020-12-10,3,period_14_30,A,5151366713,5716917501,14,32576099,,4,Nguyễn Văn Lượng,unclassified,106.6799748,10.8384914,106.680097,10.8385342,22.4008
73,424,2020-12-12,5,period_7_00,A,5151366713,5716917501,14,32576099,,4,Nguyễn Văn Lượng,unclassified,106.6799748,10.8384914,106.680097,10.8385342,22.4008
74,424,2020-12-13,6,period_12_30,A,5151366713,5716917501,14,32576099,,4,Nguyễn Văn Lượng,unclassified,106.6799748,10.8384914,106.680097,10.8385342,22.4008
75,428,2020-12-23,2,period_23_30,A,1706528933,1672907094,89,32576112,,4,Trương Quốc Dung,unclassified,106.672673,10.7950667,106.6730459,10.794347,22.40508571428571
76,428,2020-12-26,5,period_10_30,A,1706528933,1672907094,89,32576112,,4,Trương Quốc Dung,unclassified,106.672673,10.7950667,106.6730459,10.794347,22.40508571428571
77,428,2020-12-26,5,period_11_00,A,1706528933,1672907094,89,32576112,,4,Trương Quốc Dung,unclassified,106.672673,10.7950667,106.6730459,10.794347,22.40508571428571
78,428,2020-12-26,5,period_11_30,A,1706528933,1672907094,89,32576112,,4,Trương Quốc Dung,unclassified,106.672673,10.7950667,106.6730459,10.794347,22.40508571428571
79,428,2020-12-26,5,period_12_00,A,1706528933,1672907094,89,32576112,,4,Trương Quốc Dung,unclassified,106.672673,10.7950667,106.6730459,10.794347,22.40508571428571
80,428,2020-12-26,5,period_12_30,A,1706528933,1672907094,89,32576112,,4,Trương Quốc Dung,unclassified,106.672673,10.7950667,106.6730459,10.794347,22.40508571428571
81,428,2020-12-26,5,period_8_30,A,1706528933,1672907094,89,32576112,,4,Trương Quốc Dung,unclassified,106.672673,10.7950667,106.6730459,10.794347,22.40508571428571
82,428,2020-12-26,5,period_9_00,A,1706528933,1672907094,89,32576112,,4,Trương Quốc Dung,unclassified,106.672673,10.7950667,106.6730459,10.794347,22.40508571428571
83,428,2020-12-26,5,period_9_30,A,1706528933,1672907094,89,32576112,,4,Trương Quốc Dung,unclassified,106.672673,10.7950667,106.6730459,10.794347,22.40508571428571
84,430,2020-12-26,5,period_10_00,A,366448695,1706528933,39,32576112,,4,Trương Quốc Dung,unclassified,106.6724893,10.7953772,106.672673,10.7950667,22.40222857142857
85,430,2020-12-26,5,period_7_30,A,366448695,1706528933,39,32576112,,4,Trương Quốc Dung,unclassified,106.6724893,10.7953772,106.672673,10.7950667,22.40222857142857
86,432,2020-08-02,6,period_23_30,E,4979973980,366449673,42,32576127,,4,Tản Đà,tertiary,106.6646409,10.7510333,106.664706,10.7506566,3.5003
87,432,2020-08-03,0,period_0_00,C,4979973980,366449673,42,32576127,,4,Tản Đà,tertiary,106.6646409,10.7510333,106.664706,10.7506566,5.9009
88,433,2020-08-02,6,period_23_30,E,4979973980,4589132514,50,32576127,,4,Tản Đà,tertiary,106.6646409,10.7510333,106.6645422,10.7514798,3.500357142857143
89,433,2020-08-03,0,period_0_00,C,4979973980,4589132514,50,32576127,,4,Tản Đà,tertiary,106.6646409,10.7510333,106.6645422,10.7514798,5.901071428571429
90,434,2020-08-02,6,period_23_30,C,4589132514,4979973980,50,32576127,,4,Tản Đà,tertiary,106.6645422,10.7514798,106.6646409,10.7510333,5.901071428571429
91,434,2020-08-03,0,period_0_00,D,4589132514,4979973980,50,32576127,,4,Tản Đà,tertiary,106.6645422,10.7514798,106.6646409,10.7510333,4.400714285714286
92,435,2020-08-02,6,period_23_30,C,4589132514,366433158,89,32576127,,4,Tản Đà,tertiary,106.6645422,10.7514798,106.6643846,10.7522719,5.901907142857143
93,435,2020-08-03,0,period_0_00,D,4589132514,366433158,89,32576127,,4,Tản Đà,tertiary,106.6645422,10.7514798,106.6643846,10.7522719,4.4012714285714285
94,436,2020-08-02,6,period_23_30,F,366433158,4589132514,89,32576127,,4,Tản Đà,tertiary,106.6643846,10.7522719,106.6645422,10.7514798,3.5006357142857145
95,436,2020-08-03,0,period_0_00,C,366433158,4589132514,89,32576127,,4,Tản Đà,tertiary,106.6643846,10.7522719,106.6645422,10.7514798,5.901907142857143
96,437,2020-08-02,6,period_23_30,F,366433158,5816931407,69,32576127,,4,Tản Đà,tertiary,106.6643846,10.7522719,106.6642633,10.7528813,3.5004928571428575
97,437,2020-08-03,0,period_0_00,D,366433158,5816931407,69,32576127,,4,Tản Đà,tertiary,106.6643846,10.7522719,106.6642633,10.7528813,4.4009857142857145
98,438,2020-08-02,6,period_23_30,C,5816931407,366433158,69,32576127,,4,Tản Đà,tertiary,106.6642633,10.7528813,106.6643846,10.7522719,5.901478571428571
99,438,2020-08-03,0,period_0_00,E,5816931407,366433158,69,32576127,,4,Tản Đà,tertiary,106.6642633,10.7528813,106.6643846,10.7522719,3.5004928571428575
100,439,2020-08-02,6,period_23_30,C,5816931407,4589132512,73,32576127,,4,Tản Đà,tertiary,106.6642633,10.7528813,106.6641339,10.7535319,5.901564285714286
101,439,2020-08-03,0,period_0_00,C,5816931407,4589132512,73,32576127,,4,Tản Đà,tertiary,106.6642633,10.7528813,106.6641339,10.7535319,5.901564285714286
102,440,2020-08-02,6,period_23_30,E,4589132512,5816931407,73,32576127,,4,Tản Đà,tertiary,106.6641339,10.7535319,106.6642633,10.7528813,3.5005214285714286
103,440,2020-08-03,0,period_0_00,E,4589132512,5816931407,73,32576127,,4,Tản Đà,tertiary,106.6641339,10.7535319,106.6642633,10.7528813,3.5005214285714286
104,441,2020-08-02,6,period_23_30,C,5797643308,5797643307,34,32576156,,4,Đường số 7,tertiary,106.6190633,10.7515592,106.6193735,10.7516045,5.900728571428571
105,441,2020-08-03,0,period_0_00,D,5797643308,5797643307,34,32576156,,4,Đường số 7,tertiary,106.6190633,10.7515592,106.6193735,10.7516045,4.400485714285715
106,566,2021-01-09,5,period_14_00,A,3178335371,2495745975,24,32576202,,4,Nguyễn Hồng Đào,tertiary,106.6418466,10.7924125,106.6419251,10.7926149,22.401371428571426
107,679,2020-12-21,0,period_15_00,B,4950034787,4950034788,25,32576377,,4,Trường Sa,tertiary,106.6855754,10.7925479,106.6857977,10.7926023,10.700892857142858
108,679,2020-12-22,1,period_14_00,B,4950034787,4950034788,25,32576377,,4,Trường Sa,tertiary,106.6855754,10.7925479,106.6857977,10.7926023,10.700892857142858
109,679,2020-12-22,1,period_15_00,B,4950034787,4950034788,25,32576377,,4,Trường Sa,tertiary,106.6855754,10.7925479,106.6857977,10.7926023,10.700892857142858
110,680,2020-12-21,0,period_14_30,B,4950034787,5764899744,90,32576377,,4,Trường Sa,tertiary,106.6855754,10.7925479,106.6847572,10.7926798,10.703214285714285
111,985,2020-12-18,4,period_1_30,A,3191421708,1497312726,40,32576602,,3,Trần Não,secondary,106.730462,10.7912282,106.730523,10.7915893,21.002285714285716
112,996,2021-04-16,4,period_11_00,A,1497312738,1497312743,42,32576602,,3,Trần Não,secondary,106.7311474,10.7954388,106.7312122,10.7958158,21.0024
113,1002,2020-12-30,2,period_11_00,C,5735415569,5735415570,16,32576602,,3,Trần Não,secondary,106.7315976,10.7979228,106.7316171,10.7980684,4.500342857142857
114,1044,2020-12-18,4,period_11_00,E,3382829560,3382829566,127,32576690,,4,Phạm Đăng Giảng,tertiary,106.60636,10.8214287,106.6069027,10.8224463,3.500907142857143
115,1046,2020-12-18,4,period_11_00,F,5737827281,3382829560,102,32576690,,4,Phạm Đăng Giảng,tertiary,106.6058968,10.8206311,106.60636,10.8214287,3.5007285714285716
116,1048,2020-12-18,4,period_11_00,E,3382829581,5737827281,101,32576690,,4,Phạm Đăng Giảng,tertiary,106.6054378,10.8198409,106.6058968,10.8206311,3.5007214285714285
117,1050,2020-12-18,4,period_11_00,F,5740194878,3382829581,14,32576690,,4,Phạm Đăng Giảng,tertiary,106.6053707,10.8197247,106.6054378,10.8198409,3.5001
118,1054,2020-12-18,4,period_11_00,F,3382829584,5740194880,58,32576690,,4,Phạm Đăng Giảng,tertiary,106.6049673,10.819026,106.605231,10.8194828,3.5004142857142857
119,1054,2020-12-18,4,period_1_00,E,3382829584,5740194880,58,32576690,,4,Phạm Đăng Giảng,tertiary,106.6049673,10.819026,106.605231,10.8194828,3.5004142857142857
120,1059,2020-12-18,4,period_1_00,E,366400431,5025883618,50,32576690,,4,Phạm Đăng Giảng,tertiary,106.6046358,10.8184504,106.6044259,10.818044,3.500357142857143
121,1341,2020-12-10,3,period_0_30,B,366390663,2445304739,114,32576820,,4,Đại Lộ III,tertiary,106.7753601,10.8136383,106.7743679,10.8133046,10.704071428571428
122,1341,2021-01-15,4,period_0_30,B,366390663,2445304739,114,32576820,,4,Đại Lộ III,tertiary,106.7753601,10.8136383,106.7743679,10.8133046,10.704071428571428
123,1341,2021-04-14,2,period_0_30,C,366390663,2445304739,114,32576820,,4,Đại Lộ III,tertiary,106.7753601,10.8136383,106.7743679,10.8133046,5.902442857142857
124,1341,2021-04-15,3,period_5_00,F,366390663,2445304739,114,32576820,,4,Đại Lộ III,tertiary,106.7753601,10.8136383,106.7743679,10.8133046,3.500814285714286
125,1499,2020-12-12,5,period_7_30,A,366424612,366479343,25,32576893,,4,Dương Thị Mười,tertiary,106.6368278,10.8703305,106.6367225,10.8701212,22.40142857142857
126,1500,2020-11-29,6,period_15_30,A,366424612,5762725656,11,32576893,,4,Dương Thị Mười,tertiary,106.6368278,10.8703305,106.6368738,10.8704226,22.40062857142857
127,1500,2020-11-29,6,period_2_00,A,366424612,5762725656,11,32576893,,4,Dương Thị Mười,tertiary,106.6368278,10.8703305,106.6368738,10.8704226,22.40062857142857
128,1548,2021-04-22,3,period_1_30,E,5735452041,366443905,204,32577095,,4,Trần Não,tertiary,106.7324889,10.8008263,106.7306201,10.8006739,3.5014571428571433
129,1549,2020-12-18,4,period_1_30,A,366443905,5735452021,5,32577095,,4,Trần Não,tertiary,106.7306201,10.8006739,106.7305713,10.8006707,22.40028571428571
130,1549,2020-12-22,1,period_1_30,C,366443905,5735452021,5,32577095,,4,Trần Não,tertiary,106.7306201,10.8006739,106.7305713,10.8006707,5.900107142857143
131,1549,2021-04-15,3,period_1_30,A,366443905,5735452021,5,32577095,,4,Trần Não,tertiary,106.7306201,10.8006739,106.7305713,10.8006707,22.40028571428571
132,1549,2021-04-19,0,period_1_30,B,366443905,5735452021,5,32577095,,4,Trần Não,tertiary,106.7306201,10.8006739,106.7305713,10.8006707,10.700178571428571
133,1549,2021-04-22,3,period_1_30,A,366443905,5735452021,5,32577095,,4,Trần Não,tertiary,106.7306201,10.8006739,106.7305713,10.8006707,22.40028571428571
