_id,long,lat
366367223,106.6290559,10.8042433
366367233,106.7097014,10.7711099
366367242,106.7371895,10.7093371
366367274,106.7600808,10.854489
366367285,106.7211626,10.8049939
366367319,106.6185524,10.790438
366367322,106.6571359,10.7991546
366367330,106.5649256,10.8469467
366367338,106.6325754,10.7237534
366367340,106.714288,10.8030992
366367342,106.7062937,10.7647028
366367364,106.5523388,10.7868079
366367367,106.732437,10.8138085
366367369,106.6378377,10.8597279
366367370,106.5894652,10.8695191
366367371,106.8001617,10.8626149
366367389,106.7581609,10.8197068
366367392,106.6140317,10.7757322
366367408,106.7227032,10.7497728
366367420,106.6858024,10.7404086
366367423,106.6748165,10.8046717
366367437,106.7387414,10.8663403
366367438,106.8118029,10.8795318
366367448,106.6372649,10.7431235
366367450,106.6456729,10.7538414
366367451,106.6953663,10.7937916
366367452,106.6002094,10.8163364
366367461,106.6501279,10.7748787
366367468,106.7731726,10.8234768
366367476,106.6293086,10.7152966
366367484,106.8252011,10.8695099
366367490,106.5591348,10.6896892
366367492,106.6664987,10.857172
366367494,106.6692014,10.7889102
366367514,106.5905992,10.7460851
366367523,106.6748865,10.7620094
366367541,106.687423,10.7408464
366367560,106.6035517,10.7546351
366367583,106.8322021,10.8787434
366367602,106.7811749,10.8371136
366367617,106.6668613,10.8102652
366367622,106.7823731,10.8491586
366367630,106.7377832,10.7954659
366367640,106.7697169,10.8675112
366367647,106.8276358,10.808391
366367658,106.6792032,10.7514467
366367660,106.6432362,10.7901726
366367668,106.5848962,10.7473461
366367688,106.6544025,10.8116277
366367690,106.7966458,10.7784811
366367696,106.5843711,10.8831698
366367731,106.6052636,10.8680438
366367736,106.636388,10.6792309
366367746,106.7131083,10.7855948
366367822,106.6280274,10.7833617
366367825,106.7498862,10.8273223
366367839,106.6645284,10.8076894
366367847,106.671636,10.8145888
366367850,106.5698784,10.7920159
366367875,106.5838818,10.8885717
366367908,106.6806049,10.7534827
366367982,106.7663009,10.8886539
366367993,106.5907473,10.7442577
366367996,106.6666453,10.7906742
366368004,106.8119069,10.8554655
366368010,106.6447733,10.7630425
366368012,106.6724607,10.8276957
366368017,106.8353927,10.8594884
366368025,106.6290475,10.7163117
366368035,106.6452379,10.6845022
366368046,106.7143821,10.8011736
366368048,106.6651797,10.755757
366368058,106.5894653,10.8805808
366368078,106.6666588,10.7497321
