_id,segment_id,date,weekday,period,LOS,s_node_id,e_node_id,length,street_id,max_velocity,street_level,street_name,street_type,long_snode,lat_snode,long_enode,lat_enode
27687,63336,2020-08-02,6,period_23_30,A,5788625781,5788625777,12,468716258,,4,Đường Lãnh Binh Thăng,tertiary,106.6568525,10.7620808,106.6567535,10.7621391
27688,63336,2020-08-03,0,period_0_00,D,5788625781,5788625777,12,468716258,,4,Đường Lãnh Binh Thăng,tertiary,106.6568525,10.7620808,106.6567535,10.7621391
27689,63337,2020-08-02,6,period_23_30,F,4628048104,5073779466,21,468724777,,2,3 Tháng 2,primary,106.6599239,10.7638652,106.6597513,10.7637713
27690,63337,2020-08-03,0,period_0_00,C,4628048104,5073779466,21,468724777,,2,3 Tháng 2,primary,106.6599239,10.7638652,106.6597513,10.7637713
27691,63338,2020-08-02,6,period_23_30,A,5073779466,5778688839,93,468724777,,2,3 Tháng 2,primary,106.6597513,10.7637713,106.6589987,10.7633618
27692,63338,2020-08-03,0,period_0_00,D,5073779466,5778688839,93,468724777,,2,3 Tháng 2,primary,106.6597513,10.7637713,106.6589987,10.7633618
27693,63338,2020-11-30,0,period_4_30,B,5073779466,5778688839,93,468724777,,2,3 Tháng 2,primary,106.6597513,10.7637713,106.6589987,10.7633618
27694,63338,2020-11-30,0,period_6_00,B,5073779466,5778688839,93,468724777,,2,3 Tháng 2,primary,106.6597513,10.7637713,106.6589987,10.7633618
27695,63338,2020-12-25,4,period_4_30,E,5073779466,5778688839,93,468724777,,2,3 Tháng 2,primary,106.6597513,10.7637713,106.6589987,10.7633618
27696,63339,2020-08-02,6,period_23_30,F,5778688839,3150623836,9,468724777,,2,3 Tháng 2,primary,106.6589987,10.7633618,106.6589231,10.7633207
27697,63339,2020-08-03,0,period_0_00,E,5778688839,3150623836,9,468724777,,2,3 Tháng 2,primary,106.6589987,10.7633618,106.6589231,10.7633207
27698,63340,2020-08-02,6,period_23_30,D,3150623836,5778485953,129,468724777,,2,3 Tháng 2,primary,106.6589231,10.7633207,106.6578872,10.7627552
27699,63340,2020-08-03,0,period_0_00,C,3150623836,5778485953,129,468724777,,2,3 Tháng 2,primary,106.6589231,10.7633207,106.6578872,10.7627552
27700,63341,2020-08-02,6,period_23_30,E,5778485953,5778485954,20,468724777,,2,3 Tháng 2,primary,106.6578872,10.7627552,106.6577261,10.7626672
27701,63341,2020-08-03,0,period_0_00,E,5778485953,5778485954,20,468724777,,2,3 Tháng 2,primary,106.6578872,10.7627552,106.6577261,10.7626672
27702,63342,2020-08-02,6,period_23_30,A,5778485954,4631890826,31,468724777,,2,3 Tháng 2,primary,106.6577261,10.7626672,106.6574752,10.7625302
27703,63342,2020-08-03,0,period_0_00,D,5778485954,4631890826,31,468724777,,2,3 Tháng 2,primary,106.6577261,10.7626672,106.6574752,10.7625302
27704,63343,2020-08-02,6,period_23_30,E,4631890826,4632239802,51,468724777,,2,3 Tháng 2,primary,106.6574752,10.7625302,106.65706,10.7623035
27705,63343,2020-08-03,0,period_0_00,E,4631890826,4632239802,51,468724777,,2,3 Tháng 2,primary,106.6574752,10.7625302,106.65706,10.7623035
27706,63344,2020-08-02,6,period_23_30,F,4632239802,4631890834,5,468724777,,2,3 Tháng 2,primary,106.65706,10.7623035,106.6570144,10.7622786
27707,63344,2020-08-03,0,period_0_00,D,4632239802,4631890834,5,468724777,,2,3 Tháng 2,primary,106.65706,10.7623035,106.6570144,10.7622786
